locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKNNEFFE_01176	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
FKNNEFFE_01177	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
FKNNEFFE_01178	CDS	474	sbmC		COG3449	DNA gyrase inhibitor
FKNNEFFE_01179	CDS	681	yeeA_1		COG1289	Inner membrane protein YeeA
FKNNEFFE_01180	CDS	981				IS110 family transposase IS621
FKNNEFFE_01181	CDS	423	yeeA_2		COG1289	Inner membrane protein YeeA
FKNNEFFE_01182	CDS	330	tmaR		COG2926	Pole-localizer protein TmaR
FKNNEFFE_01183	CDS	225	pduV			Propanediol utilization protein PduV
FKNNEFFE_01184	CDS	195	yeeW			Protein YeeW
FKNNEFFE_01185	CDS	375	cbtA_2			Cytoskeleton-binding toxin CbtA
FKNNEFFE_01186	CDS	369	cbeA_2			Cytoskeleton bundling-enhancing antitoxin CbeA
FKNNEFFE_01187	CDS	222				hypothetical protein
FKNNEFFE_01188	CDS	477				hypothetical protein
FKNNEFFE_01189	CDS	480	klcA_2			Antirestriction protein KlcA
FKNNEFFE_01190	CDS	822				hypothetical protein
FKNNEFFE_01191	CDS	411				hypothetical protein
FKNNEFFE_01192	CDS	684				hypothetical protein
FKNNEFFE_01193	CDS	1071				hypothetical protein
FKNNEFFE_01194	CDS	906				hypothetical protein
FKNNEFFE_01195	CDS	2397	crfC_1		COG0699	Clamp-binding protein CrfC
FKNNEFFE_01196	CDS	873	era_4			GTPase Era
FKNNEFFE_01197	CDS	1152				hypothetical protein
FKNNEFFE_01198	CDS	384				hypothetical protein
FKNNEFFE_01199	CDS	348				hypothetical protein
FKNNEFFE_01200	CDS	1536				IS66 family transposase ISEc78
FKNNEFFE_01201	CDS	603				hypothetical protein
FKNNEFFE_01202	CDS	207				hypothetical protein
FKNNEFFE_01203	CDS	267				hypothetical protein
FKNNEFFE_01204	CDS	201				hypothetical protein
FKNNEFFE_01205	CDS	570				hypothetical protein
FKNNEFFE_01206	CDS	402				hypothetical protein
FKNNEFFE_01207	CDS	411				hypothetical protein
FKNNEFFE_01208	CDS	1380				ISL3 family transposase ISEc38
FKNNEFFE_01209	CDS	1035	php_1	3.1.-.-	COG1735	Phosphotriesterase homology protein
FKNNEFFE_01210	CDS	264				hypothetical protein
FKNNEFFE_01211	CDS	609				hypothetical protein
FKNNEFFE_01212	CDS	759				hypothetical protein
FKNNEFFE_01213	CDS	1215	deoK_1	2.7.1.15		Deoxyribokinase
FKNNEFFE_01214	CDS	117				hypothetical protein
FKNNEFFE_01215	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
FKNNEFFE_01216	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
FKNNEFFE_01217	CDS	1080	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FKNNEFFE_01218	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
FKNNEFFE_01219	tRNA	76				tRNA-Asn(gtt)
FKNNEFFE_01220	CDS	918	gltC_1		COG0583	Transcriptional dual regulator GltC
FKNNEFFE_01221	CDS	951	cbl		COG0583	HTH-type transcriptional regulator cbl
FKNNEFFE_01222	tRNA	76				tRNA-Asn(gtt)
FKNNEFFE_01223	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
FKNNEFFE_01224	tRNA	76				tRNA-Asn(gtt)
FKNNEFFE_01225	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
FKNNEFFE_01226	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
FKNNEFFE_01227	CDS	1317	shiA_1		COG0477	Shikimate transporter
FKNNEFFE_01228	CDS	1053				hypothetical protein
FKNNEFFE_01229	CDS	648	yeeJ_1		COG1388	Inverse autotransporter adhesin YeeJ
FKNNEFFE_01230	CDS	1263	yeeJ_2		COG1388	Inverse autotransporter adhesin YeeJ
FKNNEFFE_01231	CDS	711				hypothetical protein
FKNNEFFE_01232	CDS	2022	fyuA		COG4771	Pesticin receptor
FKNNEFFE_01233	CDS	1578	dhbE	6.2.1.71	COG1021	2,3-dihydroxybenzoate-AMP ligase
FKNNEFFE_01234	CDS	804	pikAV	3.1.2.-		Thioesterase PikA5
FKNNEFFE_01235	CDS	1101				hypothetical protein
FKNNEFFE_01236	CDS	9492	bioC_1	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
FKNNEFFE_01237	CDS	6108	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
FKNNEFFE_01238	CDS	960				hypothetical protein
FKNNEFFE_01239	CDS	1713	ybtP			yersiniabactin ABC transporter ATP-binding/permease protein YbtP
FKNNEFFE_01240	CDS	1803	ybtQ			yersiniabactin ABC transporter ATP-binding/permease protein YbtQ
FKNNEFFE_01241	CDS	1281	schE		COG2814	Schizokinen exporter SchE
FKNNEFFE_01242	CDS	1305	mbtI	5.4.99.5	COG1169	Salicylate synthase
FKNNEFFE_01243	CDS	1263	intA_2		COG0582	Prophage integrase IntA
FKNNEFFE_01244	tRNA	76				tRNA-Asn(gtt)
FKNNEFFE_01245	CDS	798	mtfA	3.4.11.-	COG3228	Mlc titration factor A
FKNNEFFE_01246	tRNA	90				tRNA-Ser(cga)
FKNNEFFE_01247	CDS	651	zinT		COG3443	Metal-binding protein ZinT
FKNNEFFE_01248	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
FKNNEFFE_01249	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
FKNNEFFE_01250	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
FKNNEFFE_01251	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
FKNNEFFE_01252	CDS	1359	hprS	2.7.13.3	COG2205	Sensor histidine kinase HprS
FKNNEFFE_01253	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
FKNNEFFE_01254	CDS	276			COG1662	IS1 family transposase IS1A
FKNNEFFE_01255	CDS	378			COG1662	IS1 family transposase IS1R
FKNNEFFE_01256	CDS	819				IS3 family transposase ISSd1
FKNNEFFE_01257	CDS	1152			COG2826	IS30 family transposase IS30
FKNNEFFE_01258	CDS	351				hypothetical protein
FKNNEFFE_01259	CDS	675	yedS_1		COG3203	Outer membrane protein YedS
FKNNEFFE_01260	CDS	393	yedS_2		COG3203	Outer membrane protein YedS
FKNNEFFE_01261	CDS	90				hypothetical protein
FKNNEFFE_01262	CDS	303	drpB			Cell division protein DrpB
FKNNEFFE_01263	CDS	696	yedJ		COG1418	putative protein YedJ
FKNNEFFE_01264	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
FKNNEFFE_01265	CDS	471	vsr	3.1.-.-	COG3727	DNA mismatch endonuclease Vsr
FKNNEFFE_01266	CDS	921	yedA		COG0697	putative inner membrane transporter YedA
FKNNEFFE_01267	CDS	918	yedI		COG2354	Inner membrane protein YedI
FKNNEFFE_01268	CDS	183				hypothetical protein
FKNNEFFE_01269	CDS	936	dgcQ_1	2.7.7.65	COG3706	putative diguanylate cyclase DgcQ
FKNNEFFE_01270	CDS	756	dgcQ_2	2.7.7.65	COG3706	putative diguanylate cyclase DgcQ
FKNNEFFE_01271	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
FKNNEFFE_01272	CDS	228				hypothetical protein
FKNNEFFE_01273	CDS	189	dsrB			Protein DsrB
FKNNEFFE_01274	CDS	624	rcsA		COG2197	Transcriptional regulatory protein RcsA
FKNNEFFE_01275	CDS	786	fliR			Flagellar biosynthetic protein FliR
FKNNEFFE_01276	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
FKNNEFFE_01277	CDS	738	fliP			Flagellar biosynthetic protein FliP
FKNNEFFE_01278	CDS	366	fliO			Flagellar protein FliO
FKNNEFFE_01279	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
FKNNEFFE_01280	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
FKNNEFFE_01281	CDS	465				hypothetical protein
FKNNEFFE_01282	CDS	1128	fliK			Flagellar hook-length control protein
FKNNEFFE_01283	CDS	444	fliJ		COG2882	Flagellar FliJ protein
FKNNEFFE_01284	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
FKNNEFFE_01285	CDS	687	fliH			Flagellar assembly protein FliH
FKNNEFFE_01286	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
FKNNEFFE_01287	CDS	1659	fliF		COG1766	Flagellar M-ring protein
FKNNEFFE_01288	CDS	315	fliE			Flagellar hook-basal body complex protein FliE
FKNNEFFE_01289	CDS	333	emrE_1		COG2076	Multidrug transporter EmrE
FKNNEFFE_01290	CDS	552				hypothetical protein
FKNNEFFE_01291	CDS	798	rhaS_1			HTH-type transcriptional activator RhaS
FKNNEFFE_01292	CDS	549				hypothetical protein
FKNNEFFE_01293	CDS	270	tnpB	3.1.21.-	COG0675	RNA-guided DNA endonuclease TnpB
FKNNEFFE_01294	CDS	498	yedK	4.-.-.-	COG2135	Abasic site processing protein YedK
FKNNEFFE_01295	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
FKNNEFFE_01296	CDS	1206	yedE		COG2391	putative transporter YedE
FKNNEFFE_01297	CDS	414				hypothetical protein
FKNNEFFE_01298	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
FKNNEFFE_01299	CDS	366	fliT			Flagellar protein FliT
FKNNEFFE_01300	CDS	411	fliS			Flagellar secretion chaperone FliS
FKNNEFFE_01301	CDS	1416	fliD		COG1345	Flagellar hook-associated protein 2
FKNNEFFE_01302	CDS	1050	fliC2			Flagellin 2
FKNNEFFE_01303	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
FKNNEFFE_01304	CDS	552	fliZ			Regulator of sigma S factor FliZ
FKNNEFFE_01305	CDS	858	tcyJ		COG0834	L-cystine-binding protein TcyJ
FKNNEFFE_01306	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
FKNNEFFE_01307	CDS	669	tcyL		COG0765	L-cystine transport system permease protein TcyL
FKNNEFFE_01308	CDS	753	tcyN	7.4.2.12	COG1126	L-cystine transport system ATP-binding protein TcyN
FKNNEFFE_01309	CDS	723	sdiA		COG2197	Regulatory protein SdiA
FKNNEFFE_01310	CDS	225				hypothetical protein
FKNNEFFE_01311	CDS	657	uvrY		COG2197	Response regulator UvrY
FKNNEFFE_01312	CDS	1833	uvrC		COG0322	UvrABC system protein C
FKNNEFFE_01313	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FKNNEFFE_01314	tRNA	76				tRNA-Gly(gcc)
FKNNEFFE_01315	tRNA	74				tRNA-Cys(gca)
FKNNEFFE_01316	tRNA	87				tRNA-Leu(taa)
FKNNEFFE_01317	CDS	666				hypothetical protein
FKNNEFFE_01318	CDS	1212	tyrP		COG0814	Tyrosine-specific transport system
FKNNEFFE_01319	CDS	240				hypothetical protein
FKNNEFFE_01320	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
FKNNEFFE_01321	CDS	324				hypothetical protein
FKNNEFFE_01322	CDS	252				hypothetical protein
FKNNEFFE_01323	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
FKNNEFFE_01324	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
FKNNEFFE_01325	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
FKNNEFFE_01326	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
FKNNEFFE_01327	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
FKNNEFFE_01328	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
FKNNEFFE_01329	CDS	429	uspC		COG0589	Universal stress protein C
FKNNEFFE_01330	CDS	351	flhD			Flagellar transcriptional regulator FlhD
FKNNEFFE_01331	CDS	579	flhC			Flagellar transcriptional regulator FlhC
FKNNEFFE_01332	CDS	888	motA		COG1291	Motility protein A
FKNNEFFE_01333	CDS	927	motB		COG1360	Motility protein B
FKNNEFFE_01334	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
FKNNEFFE_01335	CDS	504	cheW		COG0835	Chemotaxis protein CheW
FKNNEFFE_01336	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
FKNNEFFE_01337	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
FKNNEFFE_01338	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
FKNNEFFE_01339	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
FKNNEFFE_01340	CDS	390	cheY		COG0745	Chemotaxis protein CheY
FKNNEFFE_01341	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
FKNNEFFE_01342	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
FKNNEFFE_01343	CDS	2079	flhA_1			Flagellar biosynthesis protein FlhA
FKNNEFFE_01344	CDS	393	flhE			Flagellar protein FlhE
FKNNEFFE_01345	CDS	489				hypothetical protein
FKNNEFFE_01346	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
FKNNEFFE_01347	CDS	567	yecM		COG3102	Protein YecM
FKNNEFFE_01348	CDS	747	cutC			PF03932 family protein CutC
FKNNEFFE_01349	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
FKNNEFFE_01350	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
FKNNEFFE_01351	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
FKNNEFFE_01352	CDS	744	cmoA	2.1.3.-	COG2226	Carboxy-S-adenosyl-L-methionine synthase
FKNNEFFE_01353	CDS	396	yecN		COG3788	Inner membrane protein YecN
FKNNEFFE_01354	CDS	726				hypothetical protein
FKNNEFFE_01355	CDS	1311	intQ_1		COG0582	Putative defective protein IntQ
FKNNEFFE_01356	CDS	237				hypothetical protein
FKNNEFFE_01357	CDS	147				hypothetical protein
FKNNEFFE_01358	CDS	243				hypothetical protein
FKNNEFFE_01359	CDS	759				hypothetical protein
FKNNEFFE_01360	CDS	516				hypothetical protein
FKNNEFFE_01361	CDS	549				hypothetical protein
FKNNEFFE_01362	CDS	240				hypothetical protein
FKNNEFFE_01363	CDS	204				hypothetical protein
FKNNEFFE_01364	CDS	363				hypothetical protein
FKNNEFFE_01365	CDS	537				hypothetical protein
FKNNEFFE_01366	CDS	825				hypothetical protein
FKNNEFFE_01367	CDS	363				hypothetical protein
FKNNEFFE_01368	CDS	648			COG2932	putative HTH-type transcriptional regulator
FKNNEFFE_01369	CDS	261				hypothetical protein
FKNNEFFE_01370	CDS	558				hypothetical protein
FKNNEFFE_01371	CDS	1146				hypothetical protein
FKNNEFFE_01372	CDS	225				hypothetical protein
FKNNEFFE_01373	CDS	819				hypothetical protein
FKNNEFFE_01374	CDS	489				hypothetical protein
FKNNEFFE_01375	CDS	654				hypothetical protein
FKNNEFFE_01376	CDS	327	lexA_1	3.4.21.88	COG1974	LexA repressor
FKNNEFFE_01377	CDS	396	rusA_1	3.1.21.10	COG4570	Crossover junction endodeoxyribonuclease RusA
FKNNEFFE_01378	CDS	816				hypothetical protein
FKNNEFFE_01379	CDS	990				hypothetical protein
FKNNEFFE_01380	CDS	342				hypothetical protein
FKNNEFFE_01381	CDS	549				hypothetical protein
FKNNEFFE_01382	CDS	927				hypothetical protein
FKNNEFFE_01383	CDS	204				hypothetical protein
FKNNEFFE_01384	CDS	1050				hypothetical protein
FKNNEFFE_01385	tRNA	76				tRNA-Met(cat)
FKNNEFFE_01386	tRNA	77				tRNA-Arg(tcg)
FKNNEFFE_01387	tRNA	77				tRNA-Arg(tct)
FKNNEFFE_01388	CDS	1854				hypothetical protein
FKNNEFFE_01389	CDS	216				hypothetical protein
FKNNEFFE_01390	CDS	807				hypothetical protein
FKNNEFFE_01391	CDS	315				hypothetical protein
FKNNEFFE_01392	CDS	534	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
FKNNEFFE_01393	CDS	147				hypothetical protein
FKNNEFFE_01394	CDS	132				hypothetical protein
FKNNEFFE_01395	CDS	459				hypothetical protein
FKNNEFFE_01396	CDS	141				hypothetical protein
FKNNEFFE_01397	CDS	549	nohA_1		COG4220	Prophage DNA-packing protein NohA
FKNNEFFE_01398	CDS	1929				hypothetical protein
FKNNEFFE_01399	CDS	207				hypothetical protein
FKNNEFFE_01400	CDS	1593				hypothetical protein
FKNNEFFE_01401	CDS	1506				hypothetical protein
FKNNEFFE_01402	CDS	348				hypothetical protein
FKNNEFFE_01403	CDS	1029				hypothetical protein
FKNNEFFE_01404	CDS	384				hypothetical protein
FKNNEFFE_01405	CDS	354				hypothetical protein
FKNNEFFE_01406	CDS	576				hypothetical protein
FKNNEFFE_01407	CDS	396				hypothetical protein
FKNNEFFE_01408	CDS	753				hypothetical protein
FKNNEFFE_01409	CDS	423				hypothetical protein
FKNNEFFE_01410	CDS	414				hypothetical protein
FKNNEFFE_01411	CDS	2613				hypothetical protein
FKNNEFFE_01412	CDS	330				hypothetical protein
FKNNEFFE_01413	CDS	699				hypothetical protein
FKNNEFFE_01414	CDS	600				hypothetical protein
FKNNEFFE_01415	CDS	573				hypothetical protein
FKNNEFFE_01416	CDS	3396				hypothetical protein
FKNNEFFE_01417	CDS	600	ompX_1		COG3637	Outer membrane protein X
FKNNEFFE_01418	CDS	1404				hypothetical protein
FKNNEFFE_01419	CDS	609				hypothetical protein
FKNNEFFE_01420	CDS	249	dinI_1			DNA damage-inducible protein I
FKNNEFFE_01421	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
FKNNEFFE_01422	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
FKNNEFFE_01423	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
FKNNEFFE_01424	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
FKNNEFFE_01425	CDS	522	ruvC	3.1.21.10	COG0817	Crossover junction endodeoxyribonuclease RuvC
FKNNEFFE_01426	CDS	603				hypothetical protein
FKNNEFFE_01427	CDS	612	ruvA		COG0632	Holliday junction branch migration complex subunit RuvA
FKNNEFFE_01428	CDS	1011	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
FKNNEFFE_01429	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
FKNNEFFE_01430	CDS	756	znuC	7.2.2.20	COG1121	Zinc import ATP-binding protein ZnuC
FKNNEFFE_01431	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
FKNNEFFE_01432	CDS	1323	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
FKNNEFFE_01433	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
FKNNEFFE_01434	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
FKNNEFFE_01435	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
FKNNEFFE_01436	CDS	150				hypothetical protein
FKNNEFFE_01437	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
FKNNEFFE_01438	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
FKNNEFFE_01439	CDS	642	eda	4.1.3.42	COG0800	KHG/KDPG aldolase
FKNNEFFE_01440	CDS	1179	purT	6.3.1.21	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
FKNNEFFE_01441	CDS	291				hypothetical protein
FKNNEFFE_01442	CDS	357	yebF			Protein YebF
FKNNEFFE_01443	CDS	207				hypothetical protein
FKNNEFFE_01444	CDS	111				hypothetical protein
FKNNEFFE_01445	CDS	660	yebE		COG2979	Inner membrane protein YebE
FKNNEFFE_01446	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
FKNNEFFE_01447	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
FKNNEFFE_01448	CDS	657				hypothetical protein
FKNNEFFE_01449	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
FKNNEFFE_01450	CDS	375	yobA		COG2372	Protein YobA
FKNNEFFE_01451	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
FKNNEFFE_01452	CDS	342	yebY			putative protein YebY
FKNNEFFE_01453	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
FKNNEFFE_01454	CDS	276				hypothetical protein
FKNNEFFE_01455	CDS	237	yebV			putative protein YebV
FKNNEFFE_01456	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
FKNNEFFE_01457	CDS	2634	letB		COG3008	Lipophilic envelope-spanning tunnel protein B
FKNNEFFE_01458	CDS	1284	letA		COG2995	Lipophilic envelope-spanning tunnel protein A
FKNNEFFE_01459	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
FKNNEFFE_01460	CDS	699	proQ_1		COG3109	RNA chaperone ProQ
FKNNEFFE_01461	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
FKNNEFFE_01462	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
FKNNEFFE_01463	CDS	1374	ribZ		COG2814	Riboflavin transporter RibZ
FKNNEFFE_01464	CDS	792	kdgR		COG1414	HTH-type transcriptional regulator KdgR
FKNNEFFE_01465	CDS	240				hypothetical protein
FKNNEFFE_01466	CDS	288				hypothetical protein
FKNNEFFE_01467	CDS	210	cspC		COG1278	Cold shock-like protein CspC
FKNNEFFE_01468	CDS	810	rlmA	2.1.1.187	COG2226	23S rRNA (guanine(745)-N(1))-methyltransferase
FKNNEFFE_01469	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
FKNNEFFE_01470	CDS	459				hypothetical protein
FKNNEFFE_01471	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
FKNNEFFE_01472	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
FKNNEFFE_01473	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
FKNNEFFE_01474	CDS	210				hypothetical protein
FKNNEFFE_01475	CDS	1557				hypothetical protein
FKNNEFFE_01476	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
FKNNEFFE_01477	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
FKNNEFFE_01478	CDS	579		3.6.1.77	COG0494	Nudix hydrolase
FKNNEFFE_01479	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
FKNNEFFE_01480	CDS	180				hypothetical protein
FKNNEFFE_01481	CDS	300				hypothetical protein
FKNNEFFE_01482	CDS	348	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
FKNNEFFE_01483	CDS	1911	yoaA	5.6.2.3	COG1199	ATP-dependent DNA helicase YoaA
FKNNEFFE_01484	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
FKNNEFFE_01485	CDS	582	slp_1		COG3065	Outer membrane protein Slp
FKNNEFFE_01486	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
FKNNEFFE_01487	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
FKNNEFFE_01488	CDS	966	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
FKNNEFFE_01489	CDS	1125	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
FKNNEFFE_01490	CDS	1611	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
FKNNEFFE_01491	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
FKNNEFFE_01492	CDS	924	dmlR_2		COG0583	HTH-type transcriptional regulator DmlR
FKNNEFFE_01493	CDS	639	leuE		COG1280	Leucine efflux protein
FKNNEFFE_01494	CDS	360	yeaR		COG3615	putative protein YeaR
FKNNEFFE_01495	CDS	189	yoaG			Protein YoaG
FKNNEFFE_01496	CDS	1149				IS200/IS605 family transposase IS609
FKNNEFFE_01497	CDS	249				hypothetical protein
FKNNEFFE_01498	CDS	1026	dgcP	2.7.7.65	COG2199	Diguanylate cyclase DgcP
FKNNEFFE_01499	CDS	255				hypothetical protein
FKNNEFFE_01500	CDS	348				hypothetical protein
FKNNEFFE_01501	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
FKNNEFFE_01502	CDS	819	nimR		COG2207	HTH-type transcriptional regulator NimR
FKNNEFFE_01503	CDS	543				hypothetical protein
FKNNEFFE_01504	CDS	504	proXp-y	3.1.1.-	COG2606	Multifunctional Ser/Thr-tRNA deacylase ProXp-y
FKNNEFFE_01505	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
FKNNEFFE_01506	CDS	1476	cdgI_1	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
FKNNEFFE_01507	CDS	1284				hypothetical protein
FKNNEFFE_01508	CDS	1935	yeaG	2.7.11.1	COG2766	Serine/threonine kinase YeaG
FKNNEFFE_01509	CDS	747	mipA_1		COG3713	MltA-interacting protein
FKNNEFFE_01510	CDS	855	yeaE	1.1.1.-	COG0656	Methylglyoxal reductase YeaE
FKNNEFFE_01511	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
FKNNEFFE_01512	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
FKNNEFFE_01513	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
FKNNEFFE_01514	CDS	273				hypothetical protein
FKNNEFFE_01515	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
FKNNEFFE_01516	CDS	1380	ydjE_1		COG2814	Inner membrane metabolite transport protein YdjE
FKNNEFFE_01517	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
FKNNEFFE_01518	CDS	837	ydjI		COG0191	putative protein YdjI
FKNNEFFE_01519	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
FKNNEFFE_01520	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
FKNNEFFE_01521	CDS	759	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
FKNNEFFE_01522	CDS	1359	ydjE_2		COG2814	Inner membrane metabolite transport protein YdjE
FKNNEFFE_01523	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
FKNNEFFE_01524	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
FKNNEFFE_01525	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
FKNNEFFE_01526	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
FKNNEFFE_01527	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
FKNNEFFE_01528	CDS	1962	topB	5.6.2.1	COG0550	DNA topoisomerase 3
FKNNEFFE_01529	CDS	1041	ynjI			Inner membrane protein YnjI
FKNNEFFE_01530	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
FKNNEFFE_01531	CDS	273				hypothetical protein
